ticker,fetch_attempted,fetch_success,fetch_empty,fetch_fail,raw_row_count,normalized_row_count,min_date,max_date,latest_date,close_column_available,close_non_null_count,duplicate_date_count_before_cleaning,duplicate_date_count_after_cleaning,negative_or_zero_close_count,suspicious_gap_count,full_history_ready,price_only_partial,quality_status,staged_raw_path,staged_normalized_path,error_message
TLN,TRUE,TRUE,FALSE,FALSE,745,745,2023-06-02,2026-05-21,2026-05-21,TRUE,745,0,0,0,0,FALSE,TRUE,FETCH_SUCCESS_PARTIAL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TLN.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TLN.csv,
TSEM,TRUE,TRUE,FALSE,FALSE,7945,7945,1994-10-26,2026-05-21,2026-05-21,TRUE,7945,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TSEM.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TSEM.csv,
TTD,TRUE,TRUE,FALSE,FALSE,2430,2430,2016-09-21,2026-05-21,2026-05-21,TRUE,2430,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TTD.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TTD.csv,
TTMI,TRUE,TRUE,FALSE,FALSE,6452,6452,2000-09-25,2026-05-21,2026-05-21,TRUE,6452,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TTMI.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TTMI.csv,
TTWO,TRUE,TRUE,FALSE,FALSE,7322,7322,1997-04-15,2026-05-21,2026-05-21,TRUE,7322,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TTWO.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TTWO.csv,
TWLO,TRUE,TRUE,FALSE,FALSE,2492,2492,2016-06-23,2026-05-21,2026-05-21,TRUE,2492,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TWLO.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TWLO.csv,
TWST,TRUE,TRUE,FALSE,FALSE,1898,1898,2018-10-31,2026-05-21,2026-05-21,TRUE,1898,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TWST.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TWST.csv,
U,TRUE,TRUE,FALSE,FALSE,1425,1425,2020-09-18,2026-05-21,2026-05-21,TRUE,1425,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\U.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\U.csv,
UAL,TRUE,TRUE,FALSE,FALSE,5105,5105,2006-02-06,2026-05-21,2026-05-21,TRUE,5105,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\UAL.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\UAL.csv,
UBER,TRUE,TRUE,FALSE,FALSE,1768,1768,2019-05-10,2026-05-21,2026-05-21,TRUE,1768,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\UBER.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\UBER.csv,
UNH,TRUE,TRUE,FALSE,FALSE,10479,10479,1984-10-17,2026-05-21,2026-05-21,TRUE,10479,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\UNH.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\UNH.csv,
