priority_rank,ticker,price_row_count,min_price_date,max_price_date,latest_close,latest_volume,enough_history_for_technical_refresh,technical_plan_status,reason,source_batch
13,OKTA,2293,2017-04-07,2026-05-21,90.19000244140625,1276493,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
14,OLMA,1381,2020-11-19,2026-05-21,13.944999694824219,303140,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
15,OLPX,1165,2021-09-30,2026-05-21,2.0299999713897705,2556858,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
16,OPCH,7489,1996-08-15,2026-05-21,21.559999465942383,858446,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
17,PATH,1278,2021-04-21,2026-05-21,10.364999771118164,11241285,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
18,PCOR,1257,2021-05-20,2026-05-21,45.7401008605957,1048956,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
19,PCT,1472,2020-07-14,2026-05-21,11.670000076293945,1358174,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
20,PDD,1966,2018-07-26,2026-05-21,96.44000244140625,2664797,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
21,PFGC,2676,2015-09-30,2026-05-21,94.55000305175781,288708,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
22,PGNY,1651,2019-10-25,2026-05-21,24.809999465942383,392000,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
23,PI,2473,2016-07-21,2026-05-21,142.6199951171875,161411,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
24,PINS,1783,2019-04-18,2026-05-21,18.780000686645508,6246561,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
25,PLUG,6680,1999-10-29,2026-05-21,3.765000104904175,59116614,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
26,PM,4575,2008-03-17,2026-05-21,188.8300018310547,835066,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
27,PSIX,3545,2012-04-17,2026-05-21,38.619998931884766,284781,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
28,PTGX,2458,2016-08-11,2026-05-21,100.05000305175781,102775,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
29,PTON,1672,2019-09-26,2026-05-21,5.074999809265137,6784490,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
30,PUMP,2308,2017-03-17,2026-05-21,16.94499969482422,1593978,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
31,PYPL,2737,2015-07-06,2026-05-21,44.1349983215332,3734540,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
32,QS,1448,2020-08-17,2026-05-21,7.989999771118164,10776741,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
