ticker,source_tag,initial_tier,note
SOLS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SPOT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SPY,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
STG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
STM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
STUB,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
STX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TEAM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TER,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TEVA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TIGR,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TLN,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TSLA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TSM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TSEM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TTD,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TTMI,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TTWO,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TWLO,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TWST,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
TXN,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
U,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
UAL,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
UBER,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
