ticker,universe_tier,data_depth,selected_this_run,event_update_attempted,event_update_status,event_depth,event_cache_file,known_event_date,event_source,failed_reason,runtime_deferred,updated_at
PDD,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/PDD.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:37
PFGC,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/PFGC.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:37
PGNY,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/PGNY.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:37
PI,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/PI.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:37
PINS,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/PINS.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:37
PM,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/PM.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:37
POWL,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/POWL.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:37
PSIX,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/PSIX.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:37
PTGX,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/PTGX.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:37
PTON,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/PTON.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:37
PYPL,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/PYPL.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:37
QS,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/QS.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:37
