ticker,source_name,source_path,evidence_type,present,notes
FLS,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
FLS,price_cache,state/v18/price_cache/FLS.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
FLUT,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
FLUT,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
FLUT,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
FLUT,price_cache,state/v18/price_cache/FLUT.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
FWONK,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
FWONK,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
FWONK,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
FWONK,price_cache,state/v18/price_cache/FWONK.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
GEHC,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
GEHC,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
GEHC,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
GEHC,price_cache,state/v18/price_cache/GEHC.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
GEMI,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
GEMI,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
GEMI,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
GEMI,price_cache,state/v18/price_cache/GEMI.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
GOOG,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
GOOG,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
GOOG,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
GOOG,price_cache,state/v18/price_cache/GOOG.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
