ticker,universe_tier,data_depth,selected_this_run,update_attempted,update_status,update_mode,used_yfinance,cache_file,cache_exists_before,cache_exists_after,local_source_used,local_source_path,target_history_days,available_history_days,latest_price_date,latest_close,row_count_before,row_count_after,rows_added,failed_reason,runtime_deferred,updated_at
VEEV,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/VEEV.csv,TRUE,TRUE,TRUE,state/v18/price_cache/VEEV.csv,270,3168,2026-05-21,158.27000427246094,3168,3168,0,,FALSE,2026-05-27T12:58:08
VIST,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/VIST.csv,TRUE,TRUE,TRUE,state/v18/price_cache/VIST.csv,270,1715,2026-05-21,75.54000091552734,1715,1715,0,,FALSE,2026-05-27T12:58:08
VMC,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/VMC.csv,TRUE,TRUE,TRUE,state/v18/price_cache/VMC.csv,270,13426,2026-05-21,262.0799865722656,13426,13426,0,,FALSE,2026-05-27T12:58:08
WAB,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/WAB.csv,TRUE,TRUE,TRUE,state/v18/price_cache/WAB.csv,270,7784,2026-05-21,255.16000366210938,7784,7784,0,,FALSE,2026-05-27T12:58:08
WDAY,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/WDAY.csv,TRUE,TRUE,TRUE,state/v18/price_cache/WDAY.csv,270,3420,2026-05-21,121.8499984741211,3420,3420,0,,FALSE,2026-05-27T12:58:08
WHR,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/WHR.csv,TRUE,TRUE,TRUE,state/v18/price_cache/WHR.csv,270,13426,2026-05-21,43.209999084472656,13426,13426,0,,FALSE,2026-05-27T12:58:08
WING,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/WING.csv,TRUE,TRUE,TRUE,state/v18/price_cache/WING.csv,270,2752,2026-05-21,132.64999389648438,2752,2752,0,,FALSE,2026-05-27T12:58:09
WLK,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/WLK.csv,TRUE,TRUE,TRUE,state/v18/price_cache/WLK.csv,270,5479,2026-05-21,88.0999984741211,5479,5479,0,,FALSE,2026-05-27T12:58:09
WVE,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/WVE.csv,TRUE,TRUE,TRUE,state/v18/price_cache/WVE.csv,270,2646,2026-05-21,6.420000076293945,2646,2646,0,,FALSE,2026-05-27T12:58:09
WWD,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/WWD.csv,TRUE,TRUE,TRUE,state/v18/price_cache/WWD.csv,270,8088,2026-05-21,355.760009765625,8088,8088,0,,FALSE,2026-05-27T12:58:09
