"old_rank","ticker","in_old_top20","composite_candidate_score","factor_score","technical_score","old_latest_price_date","force_price_date","force_close","overlay_price_date","overlay_close","change_pct_from_overlay","manual_scan_flag"
"123","TXN","FALSE","33.404",,,"2026-05-26","2026-05-29","305.68","2026-05-28","315.95","-3.25","LATEST_PRICE_OK"
"124","AFRM","FALSE","33.369146",,,"2026-05-20","2026-05-29","73.65","2026-05-28","73","0.89","LATEST_PRICE_OK"
"125","LYFT","FALSE","33.327772",,,"2026-05-20","2026-05-29","14.11","2026-05-28","13.82","2.1","LATEST_PRICE_OK"
"126","CNM","FALSE","33.305342",,,"2026-05-20","2026-05-29","49.45","2026-05-28","49.17","0.57","LATEST_PRICE_OK"
"127","CRS","FALSE","33.247019",,,"2026-05-20","2026-05-29","468.98","2026-05-28","462.01","1.51","LATEST_PRICE_OK"
"128","BIDU","FALSE","33.226849",,,"2026-05-20","2026-05-29","135.31","2026-05-28","132.05","2.47","LATEST_PRICE_OK"
"129","LPLA","FALSE","33.215693",,,"2026-05-20","2026-05-29","273.77","2026-05-28","265.86","2.98","LATEST_PRICE_OK"
"130","BLTE","FALSE","33.017626",,,"2026-05-20","2026-05-29","144.18","2026-05-28","148","-2.58","LATEST_PRICE_OK"
"131","SNPS","FALSE","32.881778",,,"2026-05-21","2026-05-29","475.62","2026-05-28","480.64","-1.04","LATEST_PRICE_OK"
"132","VMC","FALSE","32.809491",,,"2026-05-21","2026-05-29","282.92","2026-05-28","276.75","2.23","LATEST_PRICE_OK"
"133","PYPL","FALSE","32.785338",,,"2026-05-21","2026-05-29","44.75","2026-05-28","44.46","0.65","LATEST_PRICE_OK"
"134","SHW","FALSE","32.689895",,,"2026-05-21","2026-05-29","303.84","2026-05-28","305.14","-0.43","LATEST_PRICE_OK"
"135","CIEN","FALSE","32.524",,,"2026-05-26","2026-05-29","580.23","2026-05-28","570.18","1.76","LATEST_PRICE_OK"
"136","RDDT","FALSE","32.457146",,,"2026-05-22","2026-05-29","176","2026-05-28","167.69","4.96","LATEST_PRICE_OK"
"137","HIVE","FALSE","32.427821",,,"2026-05-20","2026-05-29","4.52","2026-05-28","4.45","1.57","LATEST_PRICE_OK"
"138","CLSK","FALSE","32.392092",,,"2026-05-20","2026-05-29","18.29","2026-05-28","18.14","0.83","LATEST_PRICE_OK"
"139","TEVA","FALSE","32.389117",,,"2026-05-21","2026-05-29","35.32","2026-05-28","34.52","2.32","LATEST_PRICE_OK"
"140","SFM","FALSE","32.322369",,,"2026-05-21","2026-05-29","82.62","2026-05-28","86.69","-4.69","LATEST_PRICE_OK"
"141","WWD","FALSE","32.304956",,,"2026-05-21","2026-05-29","350.03","2026-05-28","354.96","-1.39","LATEST_PRICE_OK"
"142","CRH","FALSE","32.289218",,,"2026-05-20","2026-05-29","108.79","2026-05-28","106.76","1.9","LATEST_PRICE_OK"
"143","UBER","FALSE","32.166154",,,"2026-05-21","2026-05-29","70.4","2026-05-28","70.92","-0.73","LATEST_PRICE_OK"
"144","PINS","FALSE","32.146805",,,"2026-05-21","2026-05-29","20.05","2026-05-28","20.65","-2.91","LATEST_PRICE_OK"
"145","EEM","FALSE","32.093962",,,"2026-05-20","2026-05-29","68.6","2026-05-28","68.61","-0.01","LATEST_PRICE_OK"
"146","FIGR","FALSE","32.038065",,,"2026-05-22","2026-05-29","35.35","2026-05-28","34.73","1.79","LATEST_PRICE_OK"
"147","JBS","FALSE","31.998565",,,"2026-05-22","2026-05-29","12.47","2026-05-28","12.94","-3.63","LATEST_PRICE_OK"
"148","VEEV","FALSE","31.947966",,,"2026-05-21","2026-05-29","174.34","2026-05-28","164.38","6.06","LATEST_PRICE_OK"
"149","FLS","FALSE","31.882517",,,"2026-05-20","2026-05-29","75.51","2026-05-28","75.21","0.4","LATEST_PRICE_OK"
"150","ET","FALSE","31.83667",,,"2026-05-20","2026-05-29","19.17","2026-05-28","19.42","-1.29","LATEST_PRICE_OK"
"151","NOW","FALSE","31.808",,,"2026-05-26","2026-05-29","124.37","2026-05-28","108.73","14.38","LATEST_PRICE_OK"
