factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint
283,KWEB,25.86186,2026-05-29,26.729999542236328,-0.084589,-0.059796,-0.170906,-0.287200,1.139103,71.14725,33.333333,42.606867,21.981033,25.86186,18.063133,33.333333,,,V18_35D_RECOMPUTE
284,MCK,25.780874,2026-05-29,742.4400024414062,-0.006410,-0.112020,-0.229226,-0.159860,0.998024,51.6025,33.333333,33.2016,14.700225,25.780874,20.3638,33.333333,,,V18_35D_RECOMPUTE
285,TTD,25.769979,2026-05-29,21.559999465942383,0.019385,-0.100542,-0.099791,-0.455005,0.753946,45.15375,33.333333,16.929733,20.69946,25.769979,14.840133,33.333333,,,V18_35D_RECOMPUTE
286,RKT,25.63178,2026-05-29,14.510000228881836,0.086891,-0.069872,-0.183455,-0.273774,0.890572,28.27725,33.333333,26.038133,22.962326,25.63178,18.092367,33.333333,,,V18_35D_RECOMPUTE
287,GRAB,25.54788,2026-05-29,3.5399999618530273,-0.008403,-0.106061,-0.159145,-0.334586,0.888587,52.10075,33.333333,25.9058,17.625929,25.54788,16.875633,33.333333,,,V18_35D_RECOMPUTE
288,NU,25.195662,2026-05-29,13.130000114440918,0.015468,-0.091978,-0.211411,-0.238841,1.56011,46.133,33.333333,70.674,9.417367,25.195662,18.324933,33.333333,,,V18_35D_RECOMPUTE
289,NUVB,25.155797,2026-05-29,4.78000020980835,0.012712,-0.051587,-0.140288,-0.403246,1.082839,46.822,33.333333,38.855933,24.023264,25.155797,15.215533,33.333333,,,V18_35D_RECOMPUTE
290,PDD,25.119433,2026-05-29,84.44000244140625,-0.118856,-0.138631,-0.198785,-0.272571,0.764732,79.714,33.333333,17.6488,15.664073,25.119433,17.621467,33.333333,,,V18_35D_RECOMPUTE
291,CAI,24.819984,2026-05-29,16.719999313354492,0.107285,-0.161064,-0.169811,-0.358157,0.70158,23.17875,33.333333,13.438667,14.50012,24.819984,15.7344,33.333333,,,V18_35D_RECOMPUTE
292,GEMI,24.685033,2026-05-29,5.269999980926514,-0.018622,0.205950,-0.126037,-0.466599,0.758599,54.6555,33.333333,17.239933,59.372244,24.685033,13.5788,33.333333,,,V18_35D_RECOMPUTE
