ticker,selected_price_source,source_type,latest_date,latest_close,row_count,has_volume,history_depth_days,history_depth_trading_rows,factor_scope_class,can_compute_return_20d,can_compute_return_60d,can_compute_sma20,can_compute_sma50,can_compute_sma200,can_compute_52w_high,can_compute_realized_vol_20d,can_compute_realized_vol_60d,can_compute_volume_surge,can_compute_buy_zone,can_compute_relative_strength_vs_qqq
DBVT,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDOG,D:\us-tech-quant\state\v18\price_cache\DDOG.csv,STATE_V18_PRICE_CACHE,2026-05-15,205.449997,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DELL,D:\us-tech-quant\state\v18\price_cache\DELL.csv,STATE_V18_PRICE_CACHE,2026-05-15,242.029999,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DIS,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DOCU,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DUOL,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ECL,D:\us-tech-quant\state\v18\price_cache\ECL.csv,STATE_V18_PRICE_CACHE,2026-05-15,247.630005,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EEM,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENPH,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENTG,D:\us-tech-quant\state\v18\price_cache\ENTG.csv,STATE_V18_PRICE_CACHE,2026-05-15,133.380005,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EQIX,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EQT,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ET,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ETN,D:\us-tech-quant\state\v18\price_cache\ETN.csv,STATE_V18_PRICE_CACHE,2026-05-15,398.515015,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ETR,D:\us-tech-quant\state\v18\price_cache\ETR.csv,STATE_V18_PRICE_CACHE,2026-05-15,110.269997,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EWY,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EWZ,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FCNCA,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FIGR,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FIX,D:\us-tech-quant\state\v18\price_cache\FIX.csv,STATE_V18_PRICE_CACHE,2026-05-15,1978.800049,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FLEX,D:\us-tech-quant\state\v18\price_cache\FLEX.csv,STATE_V18_PRICE_CACHE,2026-05-15,139.830002,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FLR,D:\us-tech-quant\state\v18\price_cache\FLR.csv,STATE_V18_PRICE_CACHE,2026-05-15,44.935001,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FLS,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FLUT,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
