ticker,latest_date,latest_close,return_20d,return_60d,qqq_return_20d,qqq_return_60d,relative_strength_20d_vs_qqq,relative_strength_60d_vs_qqq,sma20,sma50,sma200,distance_to_20dma,distance_to_50dma,distance_to_200dma,rolling_52w_high,drawdown_from_52w_high,realized_volatility_20d,realized_volatility_60d,avg_volume_20d,volume_surge_20d,breakout_20d,breakout_60d,breakout_volume_confirmed,ma_alignment_label,ma_slope_20d,ma_slope_50d,ma_slope_200d,ma_slope_label,nearest_buy_zone_distance,buy_zone_label,price_factor_data_status,price_source_path
D,2026-05-15,62.158001,-0.004197,-0.050443,0.094860,0.177192,-0.099058,-0.227635,62.504900,62.354160,61.112790,-0.005550,-0.003146,0.017103,66.510002,-0.065434,0.206751,0.180797,4572099.25,0.331070,FALSE,FALSE,FALSE,BEARISH_ALIGNMENT,-0.000505,-0.000357,0.001714,FALLING_MA_SLOPES,-0.003146,NEAR_50DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\D.csv
DAKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
DASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
DBVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
DDOG,2026-05-15,205.449997,0.622700,0.703566,0.094860,0.177192,0.527839,0.526373,158.015000,136.020400,139.938901,0.300193,0.510435,0.468141,205.449997,0.000000,1.007935,0.796449,6438284.30,0.277448,TRUE,TRUE,FALSE,BEARISH_ALIGNMENT,0.154983,0.069227,0.009724,RISING_MA_SLOPES,0.300193,EXTENDED_ABOVE_BUY_ZONE,OK,D:\us-tech-quant\state\v18\price_cache\DDOG.csv
DELL,2026-05-15,242.029999,0.231391,1.032841,0.094860,0.177192,0.136531,0.855649,224.170999,190.495999,147.191850,0.079667,0.270525,0.644317,260.459991,-0.070759,0.690448,0.700407,5955604.00,0.250836,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.066245,0.052992,0.019367,RISING_MA_SLOPES,-0.070759,BREAKOUT_NEAR,OK,D:\us-tech-quant\state\v18\price_cache\DELL.csv
DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
DOCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
DUOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
ECL,2026-05-15,247.630005,-0.098872,-0.177309,0.094860,0.177192,-0.193732,-0.354501,260.215499,265.868800,272.261499,-0.048366,-0.068601,-0.090470,308.350006,-0.196919,0.220564,0.234559,1407639.60,0.344116,FALSE,FALSE,FALSE,BEARISH_ALIGNMENT,-0.021399,-0.018180,-0.001561,FALLING_MA_SLOPES,-0.068601,BELOW_KEY_SUPPORT,OK,D:\us-tech-quant\state\v18\price_cache\ECL.csv
EEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
ENPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
ENTG,2026-05-15,133.380005,-0.086814,0.005352,0.094860,0.177192,-0.181674,-0.171840,146.818499,131.355000,104.304800,-0.091531,0.015416,0.278752,156.440002,-0.147405,0.599195,0.603032,3215821.20,0.362683,FALSE,FALSE,FALSE,MIXED_ALIGNMENT,0.006047,0.009813,0.012866,RISING_MA_SLOPES,0.015416,NEAR_50DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\ENTG.csv
EQIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
EQT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
ETN,2026-05-15,398.515015,-0.018943,0.056172,0.094860,0.177192,-0.113804,-0.121020,413.408252,387.308301,363.961225,-0.036025,0.028935,0.094938,433.010010,-0.079663,0.416437,0.383530,2844538.60,0.460733,FALSE,FALSE,FALSE,MIXED_ALIGNMENT,0.004230,0.011277,0.001157,RISING_MA_SLOPES,0.028935,NEAR_50DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\ETN.csv
ETR,2026-05-15,110.269997,-0.045447,0.067163,0.094860,0.177192,-0.140307,-0.110029,113.514500,110.875200,98.555400,-0.028582,-0.005458,0.118863,117.910004,-0.064795,0.260305,0.245187,3892082.00,0.255889,FALSE,FALSE,FALSE,BEARISH_ALIGNMENT,-0.006764,0.005423,0.006171,MIXED_MA_SLOPES,-0.005458,NEAR_50DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\ETR.csv
EWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
EWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
FCNCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
FIGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
