ticker,relative_strength_score,trend_structure_score,buy_zone_score,volume_confirmation_score,volatility_risk_score,price_derived_total_score,price_derived_status,score_ready,fatal_factor_fail,partial_degraded,scoring_degradation_reason,score_component_available_count,score_component_total_count,score_coverage_ratio
ETN,-2,1,2,0,0,1,NEUTRAL_PRICE_STRUCTURE,TRUE,FALSE,FALSE,,5,5,1.000000
ETR,-2,-2,2,0,1,-1,NEUTRAL_PRICE_STRUCTURE,TRUE,FALSE,FALSE,,5,5,1.000000
EWY,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
EWZ,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
FCNCA,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
FIGR,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
FIX,4,3,1,0,0,8,STRONG_TREND_NEAR_BUY_ZONE,TRUE,FALSE,FALSE,,5,5,1.000000
FLEX,4,3,-2,0,-2,3,HIGH_VOL_CAUTION,TRUE,FALSE,FALSE,,5,5,1.000000
FLR,-2,-3,-3,0,-1,-9,BELOW_TREND_SUPPORT,TRUE,FALSE,FALSE,,5,5,1.000000
FLS,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
FLUT,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
