ticker,r6_integration_success,r7_ledger_success,current_output_bucket,current_trust_level,official_rank_allowed,watch_only,trade_allowed,score_available,best_available_score,factor_pack_present,technical_present,technical_status,tier_migration_present,tier_current,official_price_cache_available,rolling_ledger_last_status,rolling_ledger_last_success_date,current_data_gap_reason,promotion_blocker_primary,promotion_blocker_secondary,recommended_next_fix
BABA,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,46.15,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
BAC,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,78.85,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
BALL,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,67.31,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
BIDU,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,88.46,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
BITF,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,63.46,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
BKNG,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,32.69,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
BLTE,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,92.31,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
BN,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,61.54,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
BSX,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,11.54,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
CART,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,34.62,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
