path,item_type,size_mb,reason,reference_count,referenced_by_sample,current_alias_related,stable_snapshot_related,manual_state_related,price_cache_related,source_code_related,generated_output_related
scripts/v18/v18_19A_daily_readability_refactor.py,FILE,0.0576,Always protected by policy or current-line status.,3,scripts/v18/run_v18_19A_daily_readability_refactor.ps1 | scripts/v18/v18_19A_R1_stable_snapshot.py | scripts/v18/v18_20A_deep_legacy_cleanup_audit.py,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
outputs/v18/factor_audit/V18_4F_CURRENT_FORWARD_FACTOR_COVERAGE.csv,FILE,0.056,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
state/v18/price_cache/SNDK.csv,FILE,0.0558,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/CRWV.csv,FILE,0.0505,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
outputs/v18/factor_audit/V18_4D_CURRENT_FACTOR_PACK_AUDIT.csv,FILE,0.050,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v18/factor_shadow/V18_3B_SHADOW_OFFICIAL_COMPARE_CURRENT.csv,FILE,0.048,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/factor_shadow/V18_3B_SHADOW_OFFICIAL_COMPARE_CURRENT.csv,FILE,0.048,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/simulation/V18_CURRENT_SIM_CANDIDATE_TRACKER_TODAY.csv.before_v18_10A_R2_factor_capture_20260517_210713.bak,FILE,0.047,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/simulation/V18_CURRENT_SIM_CANDIDATE_TRACKER_TODAY.csv.before_v18_10A_R2_factor_capture_20260517_212019.bak,FILE,0.047,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
archive/stable_compressed/V18_14E_R1_stable_current_daily_with_forward_tracker_20260518_234221.zip,FILE,0.0460,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
outputs/v17/raw105_decision/v17_8C_current_raw105_full_decision.csv,FILE,0.043,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
